audio_id,domain
mcn1lch04s193_set193010,"['0.65', '15']"
fss3kmj02s163_set163057,"['0.94', '5']"
mkn2kkm00s004_set004095,"['0.27', '15']"
mkn3jip00s034_set034100,"['0.29', '13']"
fjb2khy00s083_set083086,"['0.83', '6']"
fkw3kcs00s198_set198054,"['0.33', '10']"
mkw3lji01s191_set191083,"['0.25', '8']"
fjb3pjy00s106_set106069,"['0.75', '18']"
mjn2kcs01s056_set056060,"['0.84', '16']"
mss3ykh00s022_set022094,"['0.91', '12']"
mss3kyh00s072_set072046,"['0.25', '8']"
fss2kjs00s032_set032082,"['1.2', '20']"
mss4hcy00s021_set021082,"['0.45', '6']"
fss2lea00s125_set125012,"['0.33', '20']"
mcn2lyj00s142_set142077,"['0.94', '5']"
fkw3kcs00s198_set198029,"['0.71', '14']"
mcn3lhj00s101_set101075,"['0.7', '9']"
mkw2agh00s076_set076095,"['1.13', '9']"
mcn1lch04s193_set193034,"['0.71', '5']"
fkn3lms01s113_set113072,"['0.31', '6']"
mjn2ljy00s196_set196077,"['0.81', '12']"
mkn2ljw01s124_set124082,"['0.52', '19']"
mcn3jsj00s040_set040104,"['1.0', '14']"
fss5mjs00s057_set057062,"['1.13', '10']"
mss1bsc00s012_set012056,"['0.38', '8']"
fjn3hks00s061_set061087,"['0.94', '8']"
fss4ysj00s111_set111023,"['1.09', '14']"
mkn2lkm00s029_set029076,"['0.29', '14']"
fjn1nyr00s190_set190047,"['1.24', '7']"
mjn3kjg00s092_set092084,"['0.38', '5']"
fkn3kse00s041_set041073,"['0.32', '15']"
fkn2smh00s120_set120095,"['0.75', '20']"
mjn4ysh00s037_set037028,"['0.85', '14']"
mkn2kcy00s069_set069075,"['1.28', '12']"
fss2kjs00s032_set032073,"['0.83', '15']"
mkw3pks01s149_set149071,"['0.37', '11']"
fjb2khy00s083_set083100,"['0.72', '7']"
mss1ahj01s009_set009037,"['0.87', '13']"
fcb2kej01s109_set109011,"['0.96', '18']"
mkn1hgc00s084_set084102,"['1.09', '9']"
fss4jse00s114_set114078,"['1.27', '20']"
mss2bjh00s001_set001091,"['0.43', '9']"
mcn2ojp00s049_set049077,"['0.6', '24']"
fss1bjk00s021_set021045,"['0.97', '14']"
fkn3lms01s113_set113083,"['0.92', '6']"
fcn3hhs00s089_set089061,"['1.41', '14']"
mcn1lch04s193_set193096,"['1.06', '14']"
fss2hyl00s058_set058014,"['1.44', '9']"
mjn3lbj01s152_set152066,"['0.82', '7']"
fcn3lci00s118_set118098,"['0.67', '8']"
fjb2ssh00s102_set102100,"['0.8', '16']"
mkn3lgn00s051_set051019,"['0.32', '9']"
mss3kah00s160_set160068,"['1.2', '15']"
fjn3jks00s040_set040034,"['0.23', '20']"
mkw4cwy00s018_set018104,"['1.21', '25']"
mkw3lwc00s091_set091084,"['1.22', '18']"
fss3pmj00s128_set128037,"['0.35', '14']"
mss3lch03s148_set148019,"['0.99', '20']"
fss4lys00s136_set136034,"['0.22', '12']"
mss2msi00s122_set122076,"['0.33', '17']"
mss3csg00s075_set075071,"['0.81', '3']"
mkw4cwy00s018_set018014,"['1.34', '14']"
mjn2chj00s126_set126062,"['0.3', '11']"
mss2ocs00s138_set138016,"['1.43', '12']"
mcn2osh00s185_set185103,"['0.87', '12']"
fss2lsy00s146_set146069,"['1.33', '9']"
fjb4sjo00s145_set145027,"['0.55', '10']"
mss3kah00s160_set160004,"['1.09', '23']"
mkw3lji01s191_set191067,"['0.55', '19']"
mss4ljw00s039_set039090,"['1.46', '17']"
fjb4sye00s080_set080062,"['1.38', '15']"
mss1hwh00s128_set128070,"['0.64', '5']"
fkn3hsh00s156_set156016,"['1.15', '18']"
mcn3shm00s130_set130071,"['1.38', '16']"
fjb3pjy00s106_set106092,"['0.48', '13']"
fcn3lms00s110_set110025,"['1.04', '5']"
mkn2kkm00s004_set004091,"['1.17', '15']"
mkw3lbc00s023_set023042,"['1.12', '9']"
fkn1syl00s178_set178081,"['1.31', '10']"
mkw3hse00s159_set159070,"['0.57', '12']"
fss2kjs00s032_set032021,"['0.94', '4']"
mcn2ojs00s176_set176073,"['1.06', '17']"
fss2emh00s126_set126090,"['0.91', '9']"
mss3ykh00s022_set022006,"['0.4', '11']"
mkw4cwy00s018_set018059,"['0.41', '19']"
