mcn1lch04s193_set193010,"['팬더', '화산', '나비']"
fss3kmj02s163_set163057,"['피아노', '알파벳', '만화책']"
mkn2kkm00s004_set004095,"['나비', '은하수', '선글라스']"
mkn3jip00s034_set034100,"['다이아몬드', '철도', '망원경']"
fjb2khy00s083_set083086,"['샌드위치', '팬더', '축구공']"
fkw3kcs00s198_set198054,"['원자', '잠수함', '망원경']"
mkw3lji01s191_set191083,"['축구공', '알파벳', '망원경']"
fjb3pjy00s106_set106069,"['샌드위치', '축구공', '카멜레온']"
mjn2kcs01s056_set056060,"['무지개', '원자', '알파벳']"
mss3ykh00s022_set022094,"['선글라스', '미술관', '원자']"
mss3kyh00s072_set072046,"['미술관', '다이아몬드', '은하수']"
fss2kjs00s032_set032082,"['우산', '다이아몬드', '무지개']"
mss4hcy00s021_set021082,"['주식', '원자', '드론']"
fss2lea00s125_set125012,"['철도', '망원경', '잠수함']"
mcn2lyj00s142_set142077,"['드론', '잠수함', '철도']"
fkw3kcs00s198_set198029,"['소프트웨어', '나비', '아이스크림']"
mcn3lhj00s101_set101075,"['스쿠버다이빙', '만화책', '소프트웨어']"
mkw2agh00s076_set076095,"['만화책', '은하수', '조각상']"
mcn1lch04s193_set193034,"['철도', '샌드위치', '원자']"
fkn3lms01s113_set113072,"['카멜레온', '알파벳', '조각상']"
mjn2ljy00s196_set196077,"['미술관', '행성', '우산']"
mkn2ljw01s124_set124082,"['주식', '피아노', '무지개']"
mcn3jsj00s040_set040104,"['무지개', '망원경', '주식']"
fss5mjs00s057_set057062,"['다이아몬드', '카멜레온', '철도']"
mss1bsc00s012_set012056,"['스쿠버다이빙', '샌드위치', '카멜레온']"
fjn3hks00s061_set061087,"['다이아몬드', '아이스크림', '드론']"
fss4ysj00s111_set111023,"['카멜레온', '조각상', '원자']"
mkn2lkm00s029_set029076,"['소프트웨어', '샌드위치', '알파벳']"
fjn1nyr00s190_set190047,"['나비', '원자', '알파벳']"
mjn3kjg00s092_set092084,"['미술관', '스쿠버다이빙', '나비']"
fkn3kse00s041_set041073,"['선글라스', '미술관', '철도']"
fkn2smh00s120_set120095,"['무지개', '스쿠버다이빙', '행성']"
mjn4ysh00s037_set037028,"['무지개', '알파벳', '잠수함']"
mkn2kcy00s069_set069075,"['축구공', '우산', '나비']"
fss2kjs00s032_set032073,"['망원경', '우산', '용암']"
mkw3pks01s149_set149071,"['드론', '샌드위치', '축구공']"
fjb2khy00s083_set083100,"['철도', '망원경', '소프트웨어']"
mss1ahj01s009_set009037,"['호랑이', '다이아몬드', '주식']"
fcb2kej01s109_set109011,"['만화책', '아이스크림', '주식']"
mkn1hgc00s084_set084102,"['아이스크림', '드론', '해파리']"
fss4jse00s114_set114078,"['행성', '소프트웨어', '철도']"
mss2bjh00s001_set001091,"['우산', '만화책', '용암']"
mcn2ojp00s049_set049077,"['아이스크림', '화산', '무지개']"
fss1bjk00s021_set021045,"['다이아몬드', '샌드위치', '나비']"
fkn3lms01s113_set113083,"['스쿠버다이빙', '미술관', '팬더']"
fcn3hhs00s089_set089061,"['다이아몬드', '피아노', '스쿠버다이빙']"
mcn1lch04s193_set193096,"['선글라스', '원자', '만화책']"
fss2hyl00s058_set058014,"['만화책', '소프트웨어', '팬더']"
mjn3lbj01s152_set152066,"['바이올린', '철도', '잠수함']"
fcn3lci00s118_set118098,"['행성', '다이아몬드', '팬더']"
fjb2ssh00s102_set102100,"['해파리', '스쿠버다이빙', '만화책']"
mkn3lgn00s051_set051019,"['철도', '아이스크림', '우산']"
mss3kah00s160_set160068,"['망원경', '드론', '피아노']"
