mcn1lch04s193_set193010,"['rt60 0.95s', 'distance 45m']"
fss3kmj02s163_set163057,"['rt60 1.24s', 'distance 35m']"
mkn2kkm00s004_set004095,"['rt60 0.57s', 'distance 45m']"
mkn3jip00s034_set034100,"['rt60 0.59s', 'distance 43m']"
fjb2khy00s083_set083086,"['rt60 1.13s', 'distance 36m']"
fkw3kcs00s198_set198054,"['rt60 0.63s', 'distance 40m']"
mkw3lji01s191_set191083,"['rt60 0.55s', 'distance 38m']"
fjb3pjy00s106_set106069,"['rt60 1.05s', 'distance 48m']"
mjn2kcs01s056_set056060,"['rt60 1.14s', 'distance 46m']"
mss3ykh00s022_set022094,"['rt60 1.21s', 'distance 42m']"
mss3kyh00s072_set072046,"['rt60 0.55s', 'distance 38m']"
fss2kjs00s032_set032082,"['rt60 1.5s', 'distance 50m']"
mss4hcy00s021_set021082,"['rt60 0.75s', 'distance 36m']"
fss2lea00s125_set125012,"['rt60 0.63s', 'distance 50m']"
mcn2lyj00s142_set142077,"['rt60 1.24s', 'distance 35m']"
fkw3kcs00s198_set198029,"['rt60 1.01s', 'distance 44m']"
mcn3lhj00s101_set101075,"['rt60 1.0s', 'distance 39m']"
mkw2agh00s076_set076095,"['rt60 1.43s', 'distance 39m']"
mcn1lch04s193_set193034,"['rt60 1.01s', 'distance 35m']"
fkn3lms01s113_set113072,"['rt60 0.61s', 'distance 36m']"
mjn2ljy00s196_set196077,"['rt60 1.11s', 'distance 42m']"
mkn2ljw01s124_set124082,"['rt60 0.82s', 'distance 49m']"
mcn3jsj00s040_set040104,"['rt60 1.3s', 'distance 44m']"
fss5mjs00s057_set057062,"['rt60 1.43s', 'distance 40m']"
mss1bsc00s012_set012056,"['rt60 0.68s', 'distance 38m']"
fjn3hks00s061_set061087,"['rt60 1.24s', 'distance 38m']"
fss4ysj00s111_set111023,"['rt60 1.39s', 'distance 44m']"
mkn2lkm00s029_set029076,"['rt60 0.59s', 'distance 44m']"
fjn1nyr00s190_set190047,"['rt60 1.54s', 'distance 37m']"
mjn3kjg00s092_set092084,"['rt60 0.68s', 'distance 35m']"
fkn3kse00s041_set041073,"['rt60 0.62s', 'distance 45m']"
fkn2smh00s120_set120095,"['rt60 1.05s', 'distance 50m']"
mjn4ysh00s037_set037028,"['rt60 1.15s', 'distance 44m']"
mkn2kcy00s069_set069075,"['rt60 1.58s', 'distance 42m']"
fss2kjs00s032_set032073,"['rt60 1.13s', 'distance 45m']"
mkw3pks01s149_set149071,"['rt60 0.67s', 'distance 41m']"
fjb2khy00s083_set083100,"['rt60 1.02s', 'distance 37m']"
mss1ahj01s009_set009037,"['rt60 1.17s', 'distance 43m']"
fcb2kej01s109_set109011,"['rt60 1.26s', 'distance 48m']"
mkn1hgc00s084_set084102,"['rt60 1.39s', 'distance 39m']"
fss4jse00s114_set114078,"['rt60 1.57s', 'distance 50m']"
mss2bjh00s001_set001091,"['rt60 0.73s', 'distance 39m']"
mcn2ojp00s049_set049077,"['rt60 0.9s', 'distance 54m']"
fss1bjk00s021_set021045,"['rt60 1.27s', 'distance 44m']"
fkn3lms01s113_set113083,"['rt60 1.22s', 'distance 36m']"
fcn3hhs00s089_set089061,"['rt60 1.71s', 'distance 44m']"
mcn1lch04s193_set193096,"['rt60 1.36s', 'distance 44m']"
fss2hyl00s058_set058014,"['rt60 1.74s', 'distance 39m']"
mjn3lbj01s152_set152066,"['rt60 1.12s', 'distance 37m']"
fcn3lci00s118_set118098,"['rt60 0.97s', 'distance 38m']"
fjb2ssh00s102_set102100,"['rt60 1.1s', 'distance 46m']"
mkn3lgn00s051_set051019,"['rt60 0.62s', 'distance 39m']"
mss3kah00s160_set160068,"['rt60 1.5s', 'distance 45m']"
fjn3jks00s040_set040034,"['rt60 0.53s', 'distance 50m']"
mkw4cwy00s018_set018104,"['rt60 1.51s', 'distance 55m']"
mkw3lwc00s091_set091084,"['rt60 1.52s', 'distance 48m']"
fss3pmj00s128_set128037,"['rt60 0.65s', 'distance 44m']"
mss3lch03s148_set148019,"['rt60 1.29s', 'distance 50m']"
fss4lys00s136_set136034,"['rt60 0.52s', 'distance 42m']"
mss2msi00s122_set122076,"['rt60 0.63s', 'distance 47m']"
