audio_id,domain
1098-133695-0046_-13,"['SNR: -13']"
8630-305212-0017_-4,"['SNR: -4']"
1447-130552-0017_-3,"['SNR: -3']"
1363-139304-0023_-12,"['SNR: -12']"
7402-59171-0021_-6,"['SNR: -6']"
1069-133699-0005_-8,"['SNR: -8']"
2196-170151-0002_4,"['SNR: 4']"
5339-14134-0069_-2,"['SNR: -2']"
426-122821-0027_-12,"['SNR: -12']"
1069-133709-0037_-11,"['SNR: -11']"
3486-166424-0025_-13,"['SNR: -13']"
2989-138035-0063_5,"['SNR: 5']"
8324-286682-0004_-15,"['SNR: -15']"
1363-139304-0000_2,"['SNR: 2']"
2159-179154-0019_-2,"['SNR: -2']"
5678-43302-0034_-12,"['SNR: -12']"
6181-216552-0066_7,"['SNR: 7']"
5339-14134-0047_-2,"['SNR: -2']"
5561-39621-0032_-5,"['SNR: -5']"
4813-248638-0038_6,"['SNR: 6']"
302-123523-0015_7,"['SNR: 7']"
7517-100437-0022_1,"['SNR: 1']"
3168-173564-0000_-6,"['SNR: -6']"
229-130880-0064_5,"['SNR: 5']"
4088-158077-0035_3,"['SNR: 3']"
2182-150130-0030_1,"['SNR: 1']"
1263-139804-0018_3,"['SNR: 3']"
2196-170379-0003_-5,"['SNR: -5']"
1970-10594-0036_-6,"['SNR: -6']"
5678-43302-0007_-6,"['SNR: -6']"
1355-39947-0083_6,"['SNR: 6']"
3947-13260-0031_7,"['SNR: 7']"
2182-181173-0034_3,"['SNR: 3']"
4014-186179-0027_-6,"['SNR: -6']"
5867-48852-0046_5,"['SNR: 5']"
7113-86041-0107_-3,"['SNR: -3']"
3374-298025-0018_-13,"['SNR: -13']"
5192-19396-0016_-2,"['SNR: -2']"
7264-92316-0030_-3,"['SNR: -3']"
39-121916-0016_-7,"['SNR: -7']"
2007-149877-0009_-7,"['SNR: -7']"
6437-66172-0033_-2,"['SNR: -2']"
4680-16026-0006_7,"['SNR: 7']"
19-198-0019_3,"['SNR: 3']"
248-130644-0007_5,"['SNR: 5']"
1926-143879-0043_5,"['SNR: 5']"
4441-76263-0004_-14,"['SNR: -14']"
5456-58161-0024_-12,"['SNR: -12']"
5778-54535-0033_-4,"['SNR: -4']"
5456-58161-0015_-7,"['SNR: -7']"
200-126784-0002_-1,"['SNR: -1']"
27-124992-0002_-2,"['SNR: -2']"
3436-172162-0012_-11,"['SNR: -11']"
4859-29340-0004_-4,"['SNR: -4']"
7800-283493-0038_-4,"['SNR: -4']"
911-128684-0007_-13,"['SNR: -13']"
4014-186179-0042_-9,"['SNR: -9']"
1743-142913-0017_-12,"['SNR: -12']"
426-122822-0007_0,"['SNR: 0']"
2518-154826-0036_9,"['SNR: 9']"
5514-19192-0048_7,"['SNR: 7']"
3486-166446-0006_-12,"['SNR: -12']"
6880-216547-0094_-12,"['SNR: -12']"
83-3054-0015_-11,"['SNR: -11']"
1963-142393-0015_-9,"['SNR: -9']"
6367-74004-0009_-4,"['SNR: -4']"
6272-70171-0041_-4,"['SNR: -4']"
4051-11217-0007_-10,"['SNR: -10']"
3526-176653-0008_6,"['SNR: 6']"
1867-154071-0006_-9,"['SNR: -9']"
226-131533-0008_-15,"['SNR: -15']"
322-124147-0050_1,"['SNR: 1']"
4830-25898-0041_-9,"['SNR: -9']"
8975-270782-0006_5,"['SNR: 5']"
1455-134435-0017_9,"['SNR: 9']"
6081-41997-0005_9,"['SNR: 9']"
6531-61334-0086_-13,"['SNR: -13']"
5456-58161-0009_-2,"['SNR: -2']"
8419-293473-0012_-15,"['SNR: -15']"
2691-156745-0030_8,"['SNR: 8']"
